HomerSampleID,Year,Agency,FisheryName,Species,Source,StatWeek,StatArea,SubDistrict,AStreamCode,Stock,Harvest,SampleDate,Gear,SurveySite,Rcvd,Preps,NotMarked,Marked, LCI,PWS,KOD,Other,TUTKA16PINK,TUTKA16PINKA,TUTKA17PINK,TUTKA17PINKA,TUTKA18PINK,TUTKA18PINKA,TUTKA18PINKB,TUTKA18PINKC,TUTKA19PINK,TUTKA19PINKA,TUTKA19PINKB,TUTKA20PINKB,PORTGRAHAM16,PORTGRAHAM17,PORTGRAHAM17A,PORTGRAHAM18,PORTGRAHAM19,PORTGRAHAM20,AFK16B,AFK17B,AFK18B,AFK19B,AFK20A,AFK20B,CCH16,CCH17,CCH18,CCH19,CCH20,CCH20A,SGH16,SGH17,SGH18,SGH19,SGH20,WNH16PINKB,WNH17PINKB,WNH18PINKB,WNH19PINKB,WNH20PINKB,KITOI17PINK,KITOI18PINK,KITOI19PINK
22HMO110P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,23202,Port Chatham Subdistrict,241-20-10550,Port Graham River,,9/2/2022,NOT REQUIRED,HOMER,96,92,62,30,24,6,0,0,,,,,,,,,,,,,,,,,,24,,,,,,1,,,,,2,,,,,,,,,,,3,,,
22HMO109P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10325,Dogfish Lagoon Creeks,,9/1/2022,NOT REQUIRED,HOMER,96,89,64,25,6,19,0,0,,,,,,,,,,,,,,,,,,6,,,,,3,8,,,,,,7,,,,,,,,,,1,,,
22HMS108P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,24114,Humpy Creek Subdistrict,241-14-10510,Humpy Creek,,9/1/2022,NOT REQUIRED,HOMER,96,93,92,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
22HMS112P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,24130,English Bay Section,241-30-10500,English Bay Lakes,,9/1/2022,NOT REQUIRED,HOMER,96,95,40,55,4,51,0,0,,,,,,,,,,,,,,,,,,4,,,,,4,13,,,,,7,1,,,,,2,,,,,24,,,
22HMS107P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,24107,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,8/31/2022,NOT REQUIRED,HOMER,96,96,5,91,91,0,0,0,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22HMO106P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,8/30/2022,NOT REQUIRED,HOMER,82,80,67,13,4,9,0,0,,,,,,,,,,,,,,,,,,4,,,,,5,2,,,,,,,,,,,2,,,,,,,,
22HMO105P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,23202,Port Chatham Subdistrict,242-10-10220,Port Chatham Creeks,,8/29/2022,NOT REQUIRED,HOMER,86,79,70,9,9,0,0,0,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
22HMS104P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,35,24111,Halibut Cove Lagoon Subdistrict,241-11-10800,Barabara Creek,,8/26/2022,NOT REQUIRED,HOMER,78,70,62,8,2,6,0,0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,,,,,,
22HMO103P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,35,23211,Port Dick Head End Section,242-42-10460,Port Dick Creek,,8/24/2022,NOT REQUIRED,HOMER,96,91,89,2,2,0,0,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22HMS102P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,35,24111,Halibut Cove Lagoon Subdistrict,241-11-10730,Seldovia River,,8/22/2022,NOT REQUIRED,HOMER,96,92,91,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
22HMS101P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,34,24116,Halibut Cove Subdistrict,241-16-10090,Tutka Creek,,8/19/2022,NOT REQUIRED,HOMER,96,90,27,63,62,1,0,0,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
22HMS100P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,34,24111,Halibut Cove Lagoon Subdistrict,241-11-10800,Barabara Creek,,8/16/2022,NOT REQUIRED,HOMER,71,57,57,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22HMS122P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,34,24130,English Bay Section,241-30-10500,English Bay Lakes,,8/14/2022,NOT REQUIRED,HOMER,96,92,80,12,5,7,0,0,,,,,,,,,,,,4,,,,,,1,,,,,3,2,,,,,2,,,,,,,,,,,,,,
22GBT051P,2022,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,32,24118,Barabara Creek Subdistrict,,,TRADITIONAL,8/5/2022,SET GILLNET,HOMER,45,40,30,10,5,5,0,0,,,,,,,,,,,,,,,,,,5,,,,,1,2,,,,,,,,,,,2,,,,,,,,
22GMX049P,2022,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,31,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/30/2022,SET GILLNET,HOMER,83,78,39,39,28,11,0,0,,,,,,,,,,,,4,,,,,,24,,,,,,,,,,,2,,,,,,8,,,,,1,,,
22PSD046P,2022,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/29/2022,PURSE SEINE,HOMER,48,47,17,30,30,0,0,0,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22PSD048P,2022,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24191,Neptune Bay Section,,,TRADITIONAL,7/29/2022,PURSE SEINE,HOMER,69,64,19,45,44,1,0,0,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
22GMX044P,2022,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,31,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/27/2022,SET GILLNET,HOMER,96,91,45,46,45,1,0,0,,,,,,,,,,,,6,,,,,,39,,,,,,,,,,,,,,,,,1,,,,,,,,
22GMX041P,2022,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,30,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/23/2022,SET GILLNET,HOMER,54,52,29,23,12,11,0,0,,,,,,,,,,,,7,,,,,,5,,,,,,1,,,,,,,,,,,10,,,,,,,,
22PSD040P,2022,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/22/2022,PURSE SEINE,HOMER,96,95,38,57,57,0,0,0,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22PSD037P,2022,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COST RECOVERY,30,24107,Tutka Bay Subdistrict,,,PNP FISH,7/21/2022,PURSE SEINE,HOMER,96,96,7,89,89,0,0,0,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22GMX035P,2022,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,30,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/20/2022,SET GILLNET,HOMER,96,92,52,40,19,21,0,0,,,,,,,,,,,,16,,,,,,3,,,,,,1,,,,,1,,,,,,18,,,,,1,,,
22GMX029P,2022,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,29,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/13/2022,SET GILLNET,HOMER,96,95,74,21,14,7,0,0,,,,,,,,,,,,11,,,,,,3,,,,,,,,,,,,,,,,,7,,,,,,,,
21HMO132P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,41,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,10/4/2021,NOT REQUIRED,HOMER,96,94,94,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21HMS130P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,40,24120,Port Graham Section,241-20-10550,Port Graham River,,9/28/2021,NOT REQUIRED,HOMER,96,94,85,9,6,2,1,0,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,1
21HMS131P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,40,24130,English Bay Section,241-30-10500,English Bay Lakes,,9/28/2021,NOT REQUIRED,HOMER,96,91,88,3,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1
21HMS129P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,40,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,9/27/2021,NOT REQUIRED,HOMER,96,96,45,51,0,51,0,0,,,,,,,,,,,,,,,,,,,,,,15,,,,,,20,,,,,,,,,,,16,,,,
21HMO128P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,40,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10325,Dogfish Lagoon Creeks,,9/26/2021,NOT REQUIRED,HOMER,96,94,89,5,4,1,0,0,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,
21HMO127P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,39,23211,Port Dick Head End Section,242-42-10460,Port Dick Creek,,9/25/2021,NOT REQUIRED,HOMER,96,93,91,2,2,0,0,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21HMS126P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,39,24114,Humpy Creek Subdistrict,241-14-10510,Humpy Creek,,9/22/2021,NOT REQUIRED,HOMER,96,93,85,8,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,3,,,,
21HMS125P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,39,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,9/20/2021,NOT REQUIRED,HOMER,96,95,65,30,12,16,2,0,,,,,,,,,,1,,,,,,,11,,,,,5,,,,,,6,,,,,,,,,,,5,,,,2
21HMO123P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,38,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,9/17/2021,NOT REQUIRED,HOMER,96,96,93,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,
21HMS124P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,38,24106,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,9/17/2021,NOT REQUIRED,HOMER,96,95,50,45,24,20,1,0,,,,,,,,,8,7,9,,,,,,,,,,,5,,,,,,12,,,,,,1,,,,,2,,,,1
21HMS121P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,38,24120,Port Graham Section,241-20-10550,Port Graham River,,9/15/2021,NOT REQUIRED,HOMER,96,96,66,30,14,16,0,0,,,,,,,,,,,,,,,,,14,,,,,4,,,,,,10,,,,,,,,,,,2,,,,
21HMS122P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,38,24130,English Bay Section,241-30-10500,English Bay Lakes,,9/15/2021,NOT REQUIRED,HOMER,96,94,53,41,0,36,5,0,,,,,,,,,,,,,,,,,,,,,,6,,,,,,18,,,,,,,,,,,12,,,,5
21HMO120P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,38,23202,Port Chatham Subdistrict,242-10-10220,Port Chatham Creeks,,9/14/2021,NOT REQUIRED,HOMER,96,93,84,9,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,,,,,,,,,,,,,,,
21HMS119P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,38,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,9/13/2021,NOT REQUIRED,HOMER,96,95,28,67,0,67,0,0,,,,,,,,,,,,,,,,,,,,,,35,,,,,,20,,,,,,1,,,,,11,,,,
21HMO118P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,37,23211,Port Dick Head End Section,242-42-10460,Port Dick Creek,,9/11/2021,NOT REQUIRED,HOMER,96,94,91,3,1,2,0,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
21HMO117P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,37,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10325,Dogfish Lagoon Creeks,,9/10/2021,NOT REQUIRED,HOMER,96,95,69,26,1,25,0,0,,,,,,,,,,,,,,,,,1,,,,,15,,,,,,5,,,,,,,,,,,5,,,,
21HMS116P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,37,24114,Humpy Creek Subdistrict,241-14-10510,Humpy Creek,,9/9/2021,NOT REQUIRED,HOMER,35,35,32,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,
21HMS114P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,37,24106,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,9/8/2021,NOT REQUIRED,HOMER,96,95,37,58,55,3,0,0,,,,,,,,,14,15,26,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,
21HMS115P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,37,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,9/8/2021,NOT REQUIRED,HOMER,96,96,49,47,4,41,2,0,,,,,,,,,,2,,,,,,,2,,,,,22,,,,,,11,,,,,,1,,,,,7,,,,2
21HMO113P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,37,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,9/7/2021,NOT REQUIRED,HOMER,96,94,85,9,2,7,0,0,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,1,,,,,,1,,,,,2,,,,
21HMO110P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,36,23202,Port Chatham Subdistrict,242-10-10240,Port Chatham Creeks,,9/3/2021,NOT REQUIRED,HOMER,96,95,79,16,1,15,0,0,,,,,,,,,,,,,,,,,1,,,,,13,,,,,,,,,,,,,,,,,2,,,,
21HMO111P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,36,23211,Port Dick Head End Section,242-42-10460,Port Dick Creek,,9/3/2021,NOT REQUIRED,HOMER,96,95,91,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,1,,,,
21HMS112P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,36,24130,English Bay Section,241-30-10500,English Bay Lakes,,9/3/2021,NOT REQUIRED,HOMER,96,93,29,64,0,64,0,0,,,,,,,,,,,,,,,,,,,,,,38,,,,,,8,,,,,,6,,,,,12,,,,
21HMS109P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,36,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,9/2/2021,NOT REQUIRED,HOMER,96,96,50,46,0,46,0,0,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,27,,,,,5,,,,
21HMS108P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,36,24120,Port Graham Section,241-20-10550,Port Graham River,,8/30/2021,NOT REQUIRED,HOMER,96,93,70,23,14,9,0,0,,,,,,,,,1,1,1,,,,,,11,,,,,2,,,,,,,,,,,,6,,,,,1,,,,
21HMS107P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,35,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,8/26/2021,NOT REQUIRED,HOMER,96,90,73,17,1,16,0,0,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,11,,,,,2,,,,
21HMO106P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,35,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,8/24/2021,NOT REQUIRED,HOMER,84,83,79,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,
21HMS105P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,35,24106,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,8/23/2021,NOT REQUIRED,HOMER,96,95,8,87,86,1,0,0,,,,,,,,,50,20,16,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
21HMS104P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,34,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,8/19/2021,NOT REQUIRED,HOMER,14,14,11,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,
21HMO103P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,34,23211,Port Dick Head End Section,242-42-10460,Port Dick Creek,,8/18/2021,NOT REQUIRED,HOMER,96,89,87,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
21HMO102P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,34,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10300,Dogfish Lagoon Creeks,,8/17/2021,NOT REQUIRED,HOMER,59,59,54,5,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,
21HMO101P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,34,23202,Port Chatham Subdistrict,242-10-10220,Port Chatham Creeks,,8/16/2021,NOT REQUIRED,HOMER,70,68,68,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PSD082P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COST RECOVERY,33,24107,Tutka Bay Subdistrict,,,PNP FISH,8/13/2021,PURSE SEINE,HOMER,96,95,23,72,71,1,0,0,,,,,,,,,29,27,15,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
21HMO100P,2021,ADFG,,PINK,ESCAPEMENT SURVEY,33,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,8/13/2021,NOT REQUIRED,HOMER,16,16,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PSD081P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,32,24115,Halibut Cove Subdistrict,,,TRADITIONAL,8/6/2021,PURSE SEINE,HOMER,6,6,4,2,2,0,0,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PSD079P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,32,24106,Tutka Bay Subdistrict,,,TRADITIONAL,8/4/2021,PURSE SEINE,HOMER,39,37,9,28,27,0,1,0,,,,,,,,,13,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21PSD077P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,32,24191,Neptune Bay Section,,,TRADITIONAL,8/4/2021,PURSE SEINE,HOMER,48,48,15,33,33,0,0,0,,,,,,,,,15,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PSD075P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,32,24191,Neptune Bay Section,,,TRADITIONAL,8/2/2021,PURSE SEINE,HOMER,96,94,58,36,35,1,0,0,,,,,,,,,12,11,12,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
21PSD073P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/30/2021,PURSE SEINE,HOMER,91,87,35,52,52,0,0,0,,,,,,,,,34,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PSD069P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24115,Halibut Cove Subdistrict,,,TRADITIONAL,7/30/2021,PURSE SEINE,HOMER,20,20,16,4,4,0,0,0,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PSD071P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24191,Neptune Bay Section,,,TRADITIONAL,7/30/2021,PURSE SEINE,HOMER,76,75,39,36,36,0,0,0,,,,,,,,,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21GMX067P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,31,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/28/2021,SET GILLNET,HOMER,67,63,42,21,4,17,0,0,,,,,,,,,,1,,,,,,,3,,,,,1,,,,,,,,,,,,14,,,,,2,,,,
21PSD064P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/26/2021,PURSE SEINE,HOMER,96,95,13,82,82,0,0,0,,,,,,,,,42,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21PSD062P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24191,Neptune Bay Section,,,TRADITIONAL,7/26/2021,PURSE SEINE,HOMER,55,53,16,37,34,3,0,0,,,,,,,,,21,12,1,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,
21GMX060P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,30,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/24/2021,SET GILLNET,HOMER,96,96,63,33,8,25,0,0,,,,,,,,,4,4,,,,,,,,,,,,2,,,,,,2,,,,,,16,,,,,5,,,,
21PSD055P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/23/2021,PURSE SEINE,HOMER,96,94,20,74,72,2,0,0,,,,,,,,,47,13,12,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
21PSD057P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/23/2021,PURSE SEINE,HOMER,31,30,17,13,13,0,0,0,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21GMX051P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,30,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/22/2021,SET GILLNET,HOMER,96,95,61,34,6,28,0,0,,,,,,,,,4,1,,,,,,,1,,,,,2,,,,,,,,,,,,22,,,,,4,,,,
21PSD053P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COST RECOVERY,30,24107,Tutka Bay Subdistrict,,,PNP FISH,7/22/2021,PURSE SEINE,HOMER,96,95,6,89,89,0,0,0,,,,,,,,,53,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
